movie,title,body,rating,upvotes,downvotes,emotion,sentiment,sarcasm,ABSA,Sentiment(withSarcasm),label1,label2,sarcasmMistral,Fliped_Sentiment(Mistral),ABSA(2nd),ABSA(2nd)_testing
Kingdom of the Planet of the Apes,No big stars. Not enough twists or turns for me.,"The CGI looks fantastic. The story itself however is just not compelling enough for me. Several nice homages to the original series. The soundtrack seemed spot on. But whereas the classic series stood the test of time because they were such wonderful plot twists and turns, this one simply does not have those elements going for it. I thought the ending was done in a way that sets up a follow up, but there isn't enough there to warrant one. The tension of the earlier movies is nowhere to be seen. You are never worried for any of the main characters. Poor development of plot considering the wonderful source material.",5.0,1,2,joy,NEGATIVE,0,"[{'aspect': 'plot', 'sentiment': 'Negative'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Positive', 'confidence': 0.7747820019721985}",EMPTY
Sting,Good but stupid lead actor,Really enjoyed this movie but would of been so much better with a more intelligent lead character and not some absolute preschool educated girl. But the effects of the spiders webs along with its growth rate is very intriguing and fun to watch. The kill in the mice are also very good mostly been on screen kills with the exception on a few side characters but coming back to it again with this movie would be 10x better if the main 12 year old girl wasn't mentally challenged and frankly to over exaggerated to better the rebel brat. I can not express how hard it is to not cringe when the main character speaks to any other character in the movie. Anyway solid animal horror movie if your star is the killer.,6.0,13,15,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.6092015504837036}",EMPTY
Sting,"A well made, old skool creature feature that takes the time to have characters you care about.","A few good jumps, some suspense, some humour, a well done Spider, a sprinkling of gore and well written slightly quirky characters, whats not to like?

There's nothing groundbreaking to see here but it knew what kind of film it was and the director and crew did a good job of bringing it to the screen in an interesting way.

There's some really good acting by the daughter and stepfather who played their parts very well and all the smaller characters were well done too.

Not as creepy as Arachnophobia, which has probably dated a fair bit since the last time i saw it but not as silly as Eight legged freaks,

Worth your time if you like this kind of horror film.",7.0,2,2,joy,POSITIVE,0,"[{'aspect': 'film', 'sentiment': 'Neutral'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.7895011901855469}",EMPTY
Sting,Sting is S***!,"I was horried by how bad this film was! Terrible acting by everyone involved, an unlikable child star, a script so bad that you have to wonder how the film got from a beginning to an end and a story so predictable and thin that you have to wonder why it was put forward to be made into a film to begin with! It also pays homages to films that Sting could only dream of being on a par with. I did hope that this would be a fun film to watch but I actually got so annoyed and disappointed with it that I nearly switched it off towards the end. I really would not recommend this film! I wasted an hour or two of my life that I will never get back!",1.0,5,8,anger,NEGATIVE,0,"[{'aspect': 'film', 'sentiment': 'Negative'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.9475486874580383}",Negative
Sting,Some reviews are too harsh...,"Kiah Roache-Turner continues to pursue his passion in filmmaking, evident in his works such as Wyrmwood (2014), Wyrmwood: Chronicles of the Dead - Teaser (2017), Nekrotronic (2018), and now Sting. This Australian production attempts to capture the essence of New York City, but the Australian influence is noticeable in small details like the placement of cars on the streets. Despite this, the focus of the film is on the unique family dynamic intertwined with the monstrous spider, Sting.

The film delves into the story of Charlotte, a 12-year-old girl who forms an unlikely bond with Sting, her pet spider. As their relationship deepens, so does the spider's size, mirroring Charlotte's own fears and anxieties. What starts as a simple tale of a missing pet escalates into a chilling narrative of a family on the verge of collapse.

While Sting may not offer anything groundbreaking, it does deliver on the thrills expected from a horror film, especially for fans who appreciate the brutal kills often associated with the genre.",6.0,1,2,joy,POSITIVE,0,[],POSITIVE,negative,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.7187160849571228}",EMPTY
Sting,Fun creature feature!,"Charlotte is a rebellious 12-year-old girl who finds a tiny spider in her rundown apartment building. She keeps it in a jar, but it soon starts to grow at a monstrous rate and develop an insatiable appetite for blood. As her neighbors begin to disappear, Charlotte and her family find themselves in a desperate fight for their lives against a ravenous arachnid with a taste for human flesh.

I'm not sure why the rating for this film is as low as it is. This is a fun creature feature with throwbacks to 80s horror and some genuinely creepy and skin-crawling moments. The young actress playing Charlotte was very good and convincing. I put off watching this for a while due to the rating on here however its definitely worth a watch and better than most of the recent mainstream horror movies released this year.",7.0,0,3,anger,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.7769750356674194}",EMPTY
Sting,"Fun, Creepy, and a Bit Gruesome","Sting involves a spider, suggested to be of nonterrestial origins, that begins to infest a small apartment complex in New York City. This building houses a couple with a newborn, the wife's daughter from a previous relationship, the mother's mother and her aunt. (The mother has Alzheimer's, and she and the aunt are from Germany.) There are a few other people in the building with their own issues.

Sting has a flavor of the creature feature of the week, some of the over the top horror, and the everyday conflicts of the characters. The storyline and script don't have extensive development, but there is enough to make them interesting and viewers concerned about them. And the family development is endearing to see.

While nothing new is made through Sting, it is a competently made film that aims to entertain, and it does do this. Acting is above par, and overall production is high.

Overall, Sting is a fun romp with some scares and just enough gore to entertain in a horror film.",7.0,0,3,joy,POSITIVE,0,"[{'aspect': 'act', 'sentiment': 'Positive'}, {'aspect': 'script', 'sentiment': 'Negative'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.5116142630577087}",EMPTY
Sting,A Worthwhile Watch But No Classic Monster Movie,"Sting is a passable attempt at a monster movie that (if I was being kind) draws a lot of inspiration from 80's classics like Alien, Gremlins and Terminator.

The effects are good and some of the acting is of a decent standard but the story is let down by the pacing. Even though the film runs at just over 90 minutes, it seemed to take forever to get going and then the ending seemed a bit rushed.

Overall, a decent one time watch but not a movie I will be returning to anytime soon, not because it was bad but just because it's all been seen before.

If you want a really good spider movie, check out Arachnophobia instead.",5.0,0,1,anger,NEGATIVE,0,[],NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Positive', 'confidence': 0.6314822435379028}",EMPTY
Sting,one point deduction because of the baby,"A solid creature film. Young girl finds alien spider, underestimates it and has to save the world at the end. That could be a short summary of Sting. This film is great fun (despite or perhaps because of the somewhat clichéd plot). The only personal drawback is the kidnapping of the protagonist's baby brother. Apart from the shock of a baby being kidnapped by a spider, it doesn't add anything to the plot. I personally rate all films in which small children are harmed for effect at least one point lower than they deserve. However, since nothing happens to the little one (apart from a serious trauma), I'll just deduct this one point. Please forgive me.",6.0,0,1,sadness,POSITIVE,0,"[{'aspect': 'effect', 'sentiment': 'Negative'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Negative', 'confidence': 0.6255468130111694}",EMPTY
Die Alone,Predictable and a bad male lead.,"But I watched until the end. The acting from most of the cast was fine. But as a general matter, I found the male lead to not be good. He just couldn't carry the relationship he was supposed to have. And it took me out of the story.

About halfway through, the plotline becomes obvious. And that wasnt a deal breaker. The plot itself is kind of interesting. Sort of a The Last of Us kind of scenario, just not nearly as interesting or as well constructed.

I wouldn't really recommend it, but if you're desperate for a post apocalyptic kind of jam, then it'll fit the bit. I just can't really look past how poorly the casting was for the lead.",5.0,29,25,joy,NEGATIVE,0,[],NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.79678875207901}",EMPTY
Die Alone,Good Story line but little else,Behind this not very well done movie is a great story line. Even though I was able to figure out the twist well in advance I still was impressed by the story. The movie even raised some interesting questions about what we would do to survive or help a loved one survive in an post apocalyptic world. Problem is they forgot to make this in any way compelling. There is a total lack of atmosphere for this kind of story and for a potentially dark tale the entire movie is filmed in sunny daylight. The zombie/monsters look like cheap props from a discount store. Worst of all is the bad acting from the lead actor that completely ruins the film. Carrie Ann Moss is excellent but she can't save this.,4.0,7,3,joy,NEGATIVE,0,"[{'aspect': 'story', 'sentiment': 'Positive'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.647369921207428}",EMPTY
Die Alone,Reprehensible Display of Morals,"I don't really care if I spoil this for everyone. I gave the movie 2 stars because the acting was pretty good in it and the filming was not bad, either. The moral fiber of the story, however, was just as rotten as the zombies in it, with the correct synopsis being that a murderous girl is feeding innocent people to her zombie boyfriend to keep him from fully changing. And she does this for years!

It's more of the same that we have expected from self-loathing, narcissistic Hollywood, including showing the gruesome murder of a coherent nuclear family by the morally-tossed girl-power lead. What an abomination.",2.0,5,9,anger,NEGATIVE,0,[],NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.9499890208244324}",Negative
UmroAyyar - A New Beginning,"An Unmissable Cinematic Experience: Stellar VFX, Strong Cast, and a Story Full of Surprises!","Had been hearing a lot of buzz about this movie, so I decided to check it out. And let me tell you, it exceeded my expectations! The visual effects were stunning, the cast was perfectly chosen, and the story was captivating. The first half did a great job of setting up the plot, with detailed character development that felt just right. Initially, the narrative seemed a bit disjointed, but it soon became clear that this was necessary to build the story's depth.

One standout character was Ayyar Safeer, who started off with a tough exterior but gradually revealed a more endearing side, adding a delightful twist to the film. A shocking plot twist left everyone in the theater gasping. While there were a few minor flaws, the incredible VFX more than compensated for them. The movie wrapped up on a high note, hinting at an exciting sequel. Kudos to the creators for delivering such an entertaining experience!",8.0,0,0,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9808070063591003}",Positive
UmroAyyar - A New Beginning,A Visual Feast of Pakistani Folklore,"Umro Ayyar"" is a cinematic gem that brings to life the rich tapestry of historical local folk tales from Pakistan. This film, notable for its commendable VFX, particularly impressive considering it was produced in Pakistan, offers a visually engaging experience that enhances its storytelling.

The narrative glorifies and captures the essence of traditional folk characters, breathing new life into these tales. Hamza Ali Abbasi's portrayal of Umro Ayyar is exceptional. He embodies the cunning and always joyful nature of Umro with finesse, making the character both believable and compelling. His performance is a standout, bringing depth and charisma to the role.

Farhan Tahir, cast as the villain, delivers an outstanding performance. His portrayal is intense and convincing, adding a significant layer of gravitas to the film. The dynamic between hero and villain is well-executed, keeping the audience engaged throughout.",10.0,0,0,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9830170273780823}",Positive
Sonic the Hedgehog 3,Merry Christmas sonic and shadow .,"The best 2024 movie since 2020 , 2022 and knuckles series . The story was very well done and the characters had a better sense of working together than they did in the first movie when sonic came to earth . The second movie was very outstanding with Dr eggman and knuckles working together. Tails had a great introduction since the first movie end credits . And then they team up with knuckles to save the whole world from Dr eggman who wasn't dead . Shadow had a great vibe. Feeling the loss of Maria who bounded with him in 1974 before she died . If she was Alive she say to shadow . Don't let revenge take control over your heart. And Dr eggmans grandpa was more crazy than him. But I thought it was absolutely hilarious seeing Jim playing two characters in sonic 3 . But I'm glade jim is done with sonic. Now it's time for sonic 4 2027 . And sonics gonna have a girlfriend in the next movie. Robot sonic is gonna be the new villain and shadow will come back.",10.0,10,6,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.7397904396057129}",EMPTY
Sonic the Hedgehog 3,"The best sonic movie, the best video game movie, and the best animated movie of 2024","To put it in layman's terms, sonic 3 is great. All of the issues of the previous ones were fixed and they made an amazing movie as an result. The plot is something straight out of the games (most of it comes from Sonic Adventure 2) as opposed to the road trip style journeys of the previous 2. Shadow is fantastic, played beautifully by Keanu Reeves in a role he sinks into. He poses a great threat to our heros, mainly the core 3 as the human characters (minus robotnik and his grandpa) take a big backseat; Maddie and tom only are in the movie for like 15 minutes and are only involved with a plan in the middle. It's very rarely the 3rd movie is the best in a trilogy, but this will stand as a prime example of that.",10.0,7,5,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9520297050476074}",Positive
Sonic the Hedgehog 3,Jim Carrey makes this unwatchable and the changes to character backstories disappointed me,"I've been a fan of the Sonic franchise for a long time. I didn't really like the other movies but so many people seemed to like this one I thought I might enjoy it. Shadow the Hedgehog is one of my favorite characters of all time. I've really wanted to see his backstory play out on the big screen. I've never been more disappointed. I walked out about 45 mins in.

They changed everything about his backstory. They made him just an alien that landed on earth and was captured and put in a lab. I think they did this so he would basically be what would Sonic would be like if he was captured on earth instead of ending up with a family. But it took away everything from his story that made it interesting.

Gerald Robotnik created Shadow to try and find a cure for Maria who was sick with a deadly disease. In this Maria isn't sick and Shadow wasn't created by Gerald. Maria is the reason Shadow exists in the games. If Gerald wasn't trying to find a cure for her Shadow wouldn't exist. It really makes their relationship so much less meaningful when she is just some girl who was nice to him and his friend. Maria and Gerald were like his family, Gerald was basically his dad.

They were both tragic characters because they both ended up dead. Gerald just wanted to find a cure for his granddaughter but was killed because of his experiments. His revenge is set in motion even after he dies. He uses Shadow, his creation that he made to help the world to try and destroy it. He was a tragic character who never came across as silly and Jim Carrey absolutely ruins his portrayal.

Maria is killed in the arc raid and saves Shadow as she is dying. Her last wish is for Shadow to protect the earth. Even after everything that happened she still loved the earth and the people in it. Taking away her illness takes away so much from her character. She was always optimistic, kind and loving even though she was suffering with her illness.

And in the movie they are on some base on earth while in the games they were on the Space Colony Arc. I was so excited to see Shadow's backstory on the arc and I didn't get that. Maria is on the arc because the low gravity helps keep her condition in remission. She loves the earth and wants to be there and spends time with Shadow looking at the earth from a window on the arc. They both talk about how much they want to be in earth and what it would be like and it's even more tragic that they don't get to see that together.

Maria dies and 50 years later when Shadow wakes up from stasis his memories have been manipulated and he is planning to destroy the earth for what they did to Maria. Taking away this part of their story ruins both of their characters for me. Having Gerald still be alive so Jim Carrey could be twice as annoying was the worst decision they could have made.

I wish they could have handled it with more maturity. Yes it's a kids movie but kids deserve better than this unfunny trash. Sonic Adventure 2 was a kids game and it handled it better decades ago. Sonic x Shadow Generations is a kids game and it handled it better this year. Dark Beginnings the short animation that came with the game was everything I wish this movie was.

There is nothing in these movies that feel like the Sonic franchise I love. The characters don't feel the same. And Jim Carey is ruined it for me. I don't think they can ever do Sonic right with the way he is in these movies.

Sonic in the games doesn't have a backstory. He is free as the wind, not dragged down by any kind of past, he's a force of nature. And Shadow is burdened by his past, he's a man made creation that contrasts with Sonic's natural abilities.

The movies have given them similar backstories and ruined what made each character unique.",1.0,9,49,sadness,POSITIVE,0,[],POSITIVE,negative,negative,1,NEGATIVE,"{'label': 'Negative', 'confidence': 0.7823936343193054}",EMPTY
Sonic the Hedgehog 3,"""He's Much More More Impressive Than The Hedgehog I Fought Previously.""","This was my first time seeing a movie in 4dx so freaking cool the story was actually entertaining unlike the first two movies and it was really funny my favorite scene is where doctor robotic jumps on the Christmas tree like that's a Tom cruise level stunt and the performances are actually amazing like Jim carry was obviously the best and Keanu Reeves did amazing to and I liked how it focused mostly on shadows backstory instead of sonic 100% of the time and don't even get me started into the 3rd act that was cool especially seeing it in 4dx my seats were flying away and the 2 credits scenes were cool but I expected them to show who it showed I predicted it anyway this was a really funny watch.

8.1/10.",8.0,1,0,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9723455905914307}",Positive
Sonic the Hedgehog 3,Best Sonic Movie,Just saw this and wow it's the best Sonic movie and best video game movie ever I didn't expect this one to be dark but it was and I was shocked when shadow hurt Tom but I'm glad he survived it was really cool to see the second fight of Sonic and shadow that one blew my mind and it was also really cool when shadow and Sonic used the emerald and I thought they weren't gonna kill off Shadow I thought they were gonna keep him around for another movie or two me and my friends really enjoyed this movie I'm definitely gonna go see it again soon and I was expecting for them in the mid post credits scene to introduce Amy I can't wait to see who they cast as Amy for the next movie.,10.0,2,2,joy,POSITIVE,0,"[{'aspect': 'scene', 'sentiment': 'Negative'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.5618967413902283}",EMPTY
Sonic the Hedgehog 3,"Becoming cringey, worst of the 3. Don't know how it's the highest rated of the 3, we barely made it past the halfway mark...","I absolutely LOVED the first Sonic movie and is one of my all time favorites. I rewatch it constantly. It was a cute story, and the jokes were funny for all ages to get a good many laughs. It was truly a movie the whole family could enjoy.

The second movie was still pretty good, wasn't as funny as the first one and focused more on the action, but still had a few good zingers especially from Knuckles. I enjoyed it but probably won't re watch it as often.

But this third one? Is an embarrassment to the series. The jokes are too predictable and kind of cringe. It feels like the humor of this 3rd movie was written for kids. I understand it's half-animated and the children are a huge market for it, but adults who played Sonic growing up were able to enjoy the other two as well.

I'm a huge Ben Schwartz fan and love almost everything he's in, but his voice acting as sonic in this one was... not good. He did great in the other two movies but in this one almost every sentence Sonic spoke was a one liner with the exact same cadence. I'm not sure how to describe it in writing but almost sounds like he always starts up high emphasizing the beginning of the sentence and dropping down near the end of it but with some ""sass"" that just doesn't fit what Sonic is saying. Some of the jokes might have actually been a little funnier if he said them with a more monotone and was more quick and punchy with the delivery. He didn't voice him this way as much in the first two movies and when he did it was on sentences/jokes that actually made sense so it fit and wasn't jarring.

Jim Carrey is always known for over the top comedic acting and did so in the first two movies but it was almost next level in this entry to the point it was getting hard to watch as well.

The disguises around the halfway point where they kept using different people's faces was extremely corny and come on... I know it's an obviously fictional story with aliens and stuff but at least try to make it a little believable? Have the actual characters voiceover so it's their voices with someone else's face? Might have made it a *little* better.

What pains me is the storylines were actually decent. Especially with Shadow and the girl and part of me wanted to know more about it... but the negative just outweighed the positive far too much. We couldn't do it. My fiance and I were genuinely so offput by all I mentioned above that we just couldn't continue. We got to around 50mins hoping it got better/funnier/or that the action would make up for it... but we just couldn't do it anymore. It's sad because I had such high hopes for this series after the first movie, that first one is probably sitting amongst my all time favorites right now, but it's just strayed too far away from what made that first one so cute and heartfelt and ACTUALLY funny that it doesn't even feel like the same franchise in this one...",1.0,0,0,joy,NEGATIVE,0,[],NEGATIVE,positive,positive,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.799137532711029}",EMPTY
Sonic the Hedgehog 3,"The #1 Sonic movie breaks records around the world, literally.","I have never seen something so incredible, funny -- and also emotional -- IN MY ENTIRE LIFE!

Paramount Pictures has brought us a live-action comedy science fiction movie for the whole family. My mom and I was this at the cinema, and guess what? It was a blast! There was also a post-credits scene where Sonic encounters a mysterious pink hedgehog with a hammer. I can't wait to meet Amy in the next movie.

SONIC 3 was probably better than the second, but funnier with a taste of action, scientific research and fun.

Are you ready? I hope so because of you are fans, you can get ready to see Sonic, Tails and Knuckles return to the big screen.",10.0,2,2,fear,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9642789959907532}",Positive
Sonic the Hedgehog 3,Part 3 is the fastest.,"Wow the story just keeps getting better as each film goes on, the action and effects are dialed up to 11.

Sonic, Knuckles, and Tails are called into action when a mysterious Hedgehog named Shadow is seen as threat, but when the team discovers that Shadow is more powerful than all of them put together. They're going to need the help of Dr. Eggman (Jim Carrey) for help.

Has a lot of action and heart to it. The actor voices mix well with the CGI. Jim Carrey does his thing quite well as a dual role as Eggman and his grandfather. The movie knows how to blur the line for kids and adults, between being family friendly and a little edgy.",9.0,1,1,fear,POSITIVE,0,"[{'aspect': 'effect', 'sentiment': 'Positive'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9746136665344238}",Positive
Sonic the Hedgehog 3,Unreal storyline,"You need to watch sonic 1 and sonic 2 to get a full understanding of the film!

The storyline is unreal and makes you question a few things at the end! Be prepared for a few laughs along the way!

*
There are 2 post credits at the end

There is a clear message to young kids aswell along the way! Cannot give any spoilers out but you'll be able to tell what that message is straight away!

Brings back so many memories seeing all the characters! If your going to watch this without watching the original 2 films your going to be missing out on a lot of the story line! Jim Carrey really suits this film for his character.",10.0,1,2,sadness,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9295023083686829}",Positive
Sonic the Hedgehog 3,Sonic Video Game Fan!,"I thought Sonic 3 was great! Loved the cast and I liked the storyline. I did think it was a little strange with the young lady that was friends with Shadow. I think if it was a young man or little boy it would have made more sense. I really liked how Tails gave Sonic good advice about working as a team . Tails is an important character and I love how he was portrayed in Sonic 2, but in this movie he was AWESOME! I was very sad about the ending, but hopefully some of the characters will return for next movie, if there is another Sonic movie. I used to play the Sonic SEGA game when I was kid, and I'm so glad they are making Sonic live action movies. This brings back childhood memories! #GoTeamSonic.",8.0,0,0,love,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9514184594154358}",Positive
Parallel,A bit melodramatic for my sci-fi tastes,"Parallel depicts a woman, her husband, and his brother at ther late father's house deep in the woods. There is mention of the father's ""crazy conspiracy theories"" in their secluded area. The three appear to have some tension or conflict between them, especially the husband and wife. To escape this, thr wife goes for a walk into the woods and sees herself with a rifle, and this person shoots at her. The wife displays more emotional unsteadiness following this encounter.

That acting is well crafted if a bit overly emotive, but they are coping with a recent distressful situation. And the confusion of parallel worlds would be distressing as well. Production is good providing for a well-crafted visual prevention of home and woods.

But, the plot of loss, grief, and misery was too overwhelming for the seriousness of parallel worlds, and the sci-fi aspect complicated the sense of grief and loss without it adding anything to the film.",5.0,5,4,sadness,POSITIVE,0,[],POSITIVE,negative,positive,1,NEGATIVE,"{'label': 'Negative', 'confidence': 0.8347067832946777}",Negative
Parallel,Totally enjoyed it!,"Initially skeptical after seeing its unimpressive ratings, I reluctantly decided to watch this multiverse/time travel film after browsing through several user reviews. To my surprise, the movie captivated me with its unique, almost claustrophobic atmosphere, confined to a minimalistic setting with just three characters. Despite its apparent simplicity and limited scope, the film impressively explores its concept, pushing the boundaries of its narrative constraints.

It maintains a delicate balance between innovation and budget constraints, and I found myself wondering if its success was a stroke of luck or a testament to clever filmmaking. Unlike many avant-garde films that tend to meander and conclude on an unsatisfying note, this one managed to weave depth and intrigue throughout, compelling me to invest emotionally in all three protagonists-and their various iterations.

Given the complexity and the slow-burn nature of its storytelling, this movie might not resonate with everyone. It demands the right mood and moment-perhaps catching you in the perfect universe on the perfect evening, as it did with me. That night, I felt rewarded for my patience and was glad to see a film that didn't squander its potential. The industry's standard might hover around mediocrity, but this film stands out, deserving of much more than its initial 4.9 rating. Ultimately, I found myself struggling between 6 and 7 stars, but decided for a 7, appreciative of the heart, thoughts and risk invested by its creators, which set it apart from the pack. In a landscape where genuine innovation is rare, this film is a noteworthy exception.",7.0,31,4,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.7974032759666443}",EMPTY
Distant,"Not really a comedy, just sci-fi.","Distant or Long Distance (I still don't get why you would call a movie with two different titles) is an entertaining sci-fi movie, not the best, for sure not, but good enough to watch once. The cinematography wasn't bad at all. The main reason I started watching this one was to see Zachary Quinto, but he turned out to be just the voice of a computer, so that was a bit disappointing. The rest of the very small cast did well though, not Oscar winning performances but good enough to look professional. In short it's worth a watch, just don't expect too much comedy as it's also categorized. I laughed once and that's it.",6.0,34,15,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.6586064100265503}",EMPTY
Distant,A breath of fresh air in the often rarefied and sometimes stale sci-fi scene,"**Distant (2024)** is a pleasant sci-fi movie that stands out with its more than decent effects and nice atmosphere. The film is funny in places and really well-acted, making it a breath of fresh air in the often rarefied and sometimes stale sci-fi scene. The story follows an asteroid miner who, after crash-landing on an alien planet, must navigate the harsh terrain while running out of oxygen and being hunted by strange creatures. The combination of humor, solid performances, and engaging visuals makes ""Distant"" a delightful watch for sci-fi enthusiasts and casual viewers alike.

The film's unique blend of comedy and drama, coupled with its good special effects, creates an immersive experience that keeps you engaged from start to finish. The characters are well-developed, and their interactions add depth to the narrative, making it more than just a typical sci-fi adventure. Overall, ""Distant"" is a refreshing addition to the genre, offering a perfect balance of entertainment and thought-provoking moments. It's a must-watch for anyone looking for a well-rounded and enjoyable sci-fi film.",8.0,8,13,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9857673645019531}",Positive
Distant,Not easy to categorise.,"It's a movie about surviving an emergency crash landing and how to keep going even when what you really want to do is to curl up and give up.

I liked the beginning when I didn't know wheter to lough or cry - so I did both. That's life for you.

The hero is not your usual knight in shining armour but rather your ordinary working man. This might be off putting for some people who are looking for ultimate survival movies ...anddd the 'star' is kind of whiny but funny.

There are some scary moments with the monsters so maybe not for small children but all in all families can enjoy this together. No killing other people. No graphic sex scenes.",8.0,3,3,love,POSITIVE,0,[],POSITIVE,negative,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.473838746547699}",EMPTY
The Greatest Hits,song sung blue,"Greetings again from the darkness. If you are one for whom hearing a particular song, no matter how many times over however many years, brings back vivid memories of a person close to you or a memorable event, then you will likely relate to Harriet, the lead character in this film from writer-director Ned Benson (THE DISAPPEARANCE OF ELEANOR RIGBY, 2014). Additionally, if you have tragically lost someone special to you and find yourself cloaked in unshakeable grief, then you will also likely find common ground with Harriet.

Harriet (Lucy Boynton, so good in SING STREET, 2016) wears noise-cancelling headphones whenever she is in public. She is so concerned with controlling the songs she hears, that she now works in a library for the serenity that silence brings. These steps are for a good reason ... they protect her from instantaneously being transported back in time to a specific moment with her beloved boyfriend Max (David Corenswet, ""Hollywood"" mini-series, and he's the new Superman). For Harriet, these aren't merely flashbacks or memories - she is physically transported back in time when she hears a song. Rather than HOT TUB TIME MACHINE, she's living ""Hi-Fidelity Time Machine"". Her trip only lasts as long as the song is playing, yet she has no control. Once back in real time, she is viewed as having had a seizure. It's frightening stuff for her. However, instead of being concerned about her health, she is intent on finding the song that takes her back to the moment she can change the past and prevent the accident that cost Max his life.

Harriet's BFF Morris (Austin Crute, BOOKSMART, 2019), a local DJ, has been very supportive of her grief, but it's been two years since Max died, and Morris wants his friend to move on with life. Hope springs when Harriet meets David (a terrific Justin Min, ""Beef"") at a grief counseling group event. The two are understandable tentative around each other, yet it's obvious David is a good dude with the necessary patience to allow her to work through her grief. Harriet's case of déjà vu with David comes full circle, and adds a nice touch to the delicate situation they find themselves locked in.

Wanting to change the past is something we have all thought of at one time or another, yet the physical transformations that Harriet experiences feel like something beyond science fiction, and bordering on psychological torture. Filmmaker Benson has delivered a film that is simultaneously relatable, while also landing pretty far outside the box. There is a throwback feeling here, despite the characters feeling very much of this day. As you might expect, the soundtrack is quite varied with some deep cuts ... with Roxy Music being a key. Although there may not be any big surprises in how the story unfolds, the characters are so relatable, and it's so well acted, that we find ourselves pulling for each of them to have a happy ending.

Opens in theaters beginning April 5, 2024.",6.0,26,14,love,POSITIVE,0,[],POSITIVE,negative,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.889359712600708}",Positive
The Greatest Hits,Falls way short of expectations.,"Harriet is mourning her boyfriend Max and is unable to move on. She meets David at a support group and learns he is coping losing his parents. They form a bond but Harriet is unable to pursue it further as she is constantly time travelling to the past memories with Max whenever she listens to hit songs associated with Max. Would she go back in time to save Max or would she learn to find the strength required to move on, makes up rest of the story.

This definitely had an intriguing idea and the right person to direct it considering I am kind of a Sucker for time travel stories and I immensely liked Ned Benson's all 3 versions of The Disappearance of Eleanor Rigby. It just made me have expectations which this film didn't meet. The narrative isn't truly engaging and turns repetitive way too soon. The love story not working, both Harriet - Max and Harriet - David, as much as it should have, hurt the film the most. This simply lacked the magic it needed to work.",4.0,3,3,joy,NEGATIVE,0,[],NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.5589635372161865}",EMPTY
